,index,review_1_text_sentiment,review_2_text_sentiment,review_1_sentiment,review_2_sentiment,review_1_sentiment_binary,review_2_sentiment_binary,review_2_sentiment_mean
85,85,Umm not my favourite,Great value for money and excellent servic...,0.002612263,0.999915,0.0,1.0,1.0
86,86,A favourite in Madrid,Most excellent!,0.98031497,0.9996872,1.0,1.0,1.0
87,87,Go pho a good meal,,0.9990108,,1.0,,1.0
88,88,Kids loved!,Children World for Everyone,0.93506336,0.7466339,1.0,1.0,1.0
89,89,"Good pub, awesome burger",Lunch,0.9889673,0.365851,1.0,0.0,1.0
90,90,"Cute, relaxing...",Great food in lovely atmosphere !!!!,0.99956155,0.9981539,1.0,1.0,1.0
91,91,,,,,,,
92,92,Sad restaurant,Well worth trying,0.1455802,0.9944234,0.0,1.0,1.0
93,93,Amazing Italian food in Prague,,0.9995164,,1.0,,1.0
94,94,"ABSOLUTE CONMEN', ""Don't be confused by the rotten place next...""",,0.07224065,,0.0,,0.0
95,95,Average restaurant,Still a good curry,0.0012973845,0.99935424,0.0,1.0,1.0
96,96,Hidden Gem,"Wonderful Restaurant, beautiful food.",0.9999927,0.9999484,1.0,1.0,1.0
97,97,,,,,,,
98,98,Brunch with lots of variety,Nice place and tasty food,0.99607,0.999491,1.0,1.0,1.0
99,99,Great place Great food.,Overpriced and awful paella,0.9999378,2.9901938e-05,1.0,0.0,0.0
100,100,"Poor service, ugly menu and greasy food",,5.6854324e-06,,0.0,,0.0
101,101,Hidden Gem,Excellent food,0.9999927,0.999701,1.0,1.0,1.0
102,102,"Lovely interior with delicious food, but e...",Very good food,0.9211526,0.99915045,1.0,1.0,1.0
103,103,Best Street Food in Vienna,survival kit,0.9996077,0.9137697,1.0,1.0,1.0
104,104,Lovely find,All you could wish for,0.99100375,0.9715108,1.0,1.0,1.0
105,105,Great little Italian gem,Surprisingly good,0.9999517,0.99720776,1.0,1.0,1.0
106,106,Lovely little place.,Little gem,0.997771,0.99490786,1.0,1.0,1.0
107,107,Very nice local little place for a bite to...,Brunch stop after a rainy walk,0.9952421,0.8759664,1.0,1.0,1.0
108,108,Fun,The fry is the best,0.9964111,0.9724406,1.0,1.0,1.0
109,109,Is Socafeen now called Tivoli Terrassen?,Traditional lunch by the lake,0.68248284,0.97228765,1.0,1.0,1.0
110,110,Nice place for wine drinking,Enjoy the drinks and relax. Good for a ch...,0.97996825,0.97903705,1.0,1.0,1.0
111,111,,,,,,,
112,112,nice place for a quite breakfast,Little gem just off high street ken,0.991282,0.9978845,1.0,1.0,1.0
113,113,,,,,,,
114,114,,,,,,,
115,115,,,,,,,
116,116,Fish & Chips and Orchard Pig Reveller Cide...,"Cosy, friendly and warm",0.6691073,0.99796396,1.0,1.0,1.0
117,117,Delicioso Coreano,Dinner with warm waitress,0.3836408,0.7753165,0.0,1.0,1.0
118,118,,,,,,,
119,119,Good food at a good price!,"Good, particularly for lunch",0.9883795,0.99630535,1.0,1.0,1.0
120,120,,,,,,,
121,121,Wonderful,"A must-try, wonderful find! (And a hidden...",0.98814726,0.9999944,1.0,1.0,1.0
122,122,"Surprisingly good !', ""Nice food and 'quietly busy' sort of atmos...""",,0.96705925,,1.0,,1.0
123,123,,,,,,,
124,124,,,,,,,
125,125,Sunday brunch by the sea,very funny,0.995546,0.9473911,1.0,1.0,1.0
126,126,In point,,0.7068286,,1.0,,1.0
127,127,,,,,,,
128,128,Cordon Bleu,,0.1084649,,0.0,,0.0
129,129,Authentic Dutch Brown Café,Welcome respite at the end of the day,0.99996936,0.85325617,1.0,1.0,1.0
130,130,Nice meal,Nice place for a quick snack,0.96888983,0.9961672,1.0,1.0,1.0
131,131,Lunch with my wife,Visited with bike tour,0.7470018,0.99458015,1.0,1.0,1.0
132,132,Chaotic but great food and atmosphere,Excellent service with delightful food and...,0.98310953,0.99884903,1.0,1.0,1.0
133,133,Wonderful place!,Great service,0.9992783,0.99732107,1.0,1.0,1.0
134,134,,,,,,,
135,135,A perfect evening,Odd but Good,0.99235266,0.47532296,1.0,0.0,1.0
136,136,"Promising space, dry",Simple but tasty food,4.3414966e-05,0.96841395,0.0,1.0,0.0
137,137,Hot staff,Lunch,0.50225425,0.365851,1.0,0.0,0.0
138,138,Friday Veggie Tagine,Delicious Algerian!,0.091165066,0.998396,0.0,1.0,1.0
139,139,South American food at its best!,,0.8973459,,1.0,,1.0
140,140,,,,,,,
141,141,Real treasure,,0.99901253,,1.0,,1.0
142,142,,,,,,,
143,143,typical Portuguese snack place,‘Local café outside Castle St Jorge’,0.9948148,0.10584837,1.0,0.0,1.0
144,144,Nice atmosphere,"Good views, but medium food quality",0.70325434,0.40866104,1.0,0.0,1.0
145,145,Convenient location. Good traditional food,,0.97111166,,1.0,,1.0
146,146,Chocolate shocker,Excellent breakfast and lunch options,0.7112502,0.9994905,1.0,1.0,1.0
147,147,Great food lovely staff and amazing whisky...,Great Passion for Food and Service,0.99997485,0.99878204,1.0,1.0,1.0
148,148,Great food and relaxed atmosphere,Great food but there is space for improvem...,0.9999968,0.7731178,1.0,1.0,1.0
149,149,Tasteful lunch,Great food and good price,0.8247058,0.99990714,1.0,1.0,1.0
150,150,Cheap place and great kruskovice,,0.9990193,,1.0,,1.0
151,151,Deafening noise level,"Delicious food, full of locals, good servi...",0.20009321,0.9999994,0.0,1.0,1.0
152,152,Almost very good !,Good menu and some good offers,0.9990759,0.99520075,1.0,1.0,1.0
153,153,moldy food,Disgusting rubbish,3.569032e-05,8.778105e-05,0.0,0.0,0.0
154,154,,,,,,,
155,155,Wine Tasting,Best wine tasting experiance in Barca,0.43877706,0.9972445,0.0,1.0,1.0
156,156,Great meal,"Well-Seasoned, Authentic and enjoyable (if...",0.99965656,0.99533117,1.0,1.0,1.0
157,157,Good Value pub,Our local pub.,0.80897474,0.46626654,1.0,0.0,1.0
158,158,Friendly italianrestaurant!,"Good food, nice atmosphere",0.86731887,0.97917557,1.0,1.0,1.0
159,159,Solo: Great restaurant in Museumplein,,0.9963535,,1.0,,1.0
160,160,Cosy place !,Fab place to eat!,0.99986064,0.9982355,1.0,1.0,1.0
161,161,Nice starting of our trip,Unpredictable service,0.996945,0.2984801,1.0,0.0,1.0
162,162,,,,,,,
163,163,nice place,Great atmosphere,0.92788565,0.992923,1.0,1.0,1.0
164,164,,,,,,,
165,165,super restaurant !!!,Excellent Experience near the Brunnermarkt,0.9105017,0.9965339,1.0,1.0,1.0
166,166,just ok,Rip off,0.007768899,8.905557e-05,0.0,0.0,0.0
167,167,,,,,,,
168,168,,,,,,,
169,169,Okay,Authentic experience & service,0.011575103,0.9659909,0.0,1.0,0.0
170,170,Quality italian food at reasonable price,Very nice food and choice,0.9915576,0.9961536,1.0,1.0,1.0
171,171,Better than average but not very good,Nice little place but the food was horribl...,0.7750106,0.5802804,1.0,1.0,1.0
172,172,"Delicious, quick, and affordable Polish fo...",Great start for my Krakow visit,1.0,0.99981236,1.0,1.0,1.0
173,173,Best one,"good pizza, affordable prices",0.9993876,0.99989295,1.0,1.0,1.0
174,174,"American Bistro - new name, new decor",Proper locals pub.,0.87975556,0.63445425,1.0,1.0,1.0
175,175,,,,,,,
176,176,There are better places to visit and have...,No Palace to be,0.056375176,0.017700255,0.0,0.0,0.0
177,177,Friendly Italian restaurant,Best Italian in this area,0.99007,0.9997792,1.0,1.0,1.0
178,178,Great cocktails with a great view,"Nice Food, Nice View but don’t appreciate...",0.99998176,0.9234108,1.0,1.0,1.0
179,179,,,,,,,
180,180,"Huge portions, wrong info on menu, wrong f...",Huge portions but unconvincing taste,0.24701703,0.49824926,0.0,0.0,0.0
181,181,"exellent', ""Reminds me of my auntie's house""",,0.9673128,,1.0,,1.0
182,182,Tasty!!!,Perfect lunch for people on the run!,0.95927614,0.9926467,1.0,1.0,1.0
183,183,Welcoming and great food!,Great food and ambience,0.9999081,0.99658287,1.0,1.0,1.0
184,184,,,,,,,
185,185,"Warm welcome, great wine",,0.9761194,,1.0,,1.0
186,186,,,,,,,
187,187,One of my favourite places,Small but lovely,0.99965143,0.96215415,1.0,1.0,1.0
188,188,Night out,OMG! All you can eat Authentic Tasty Japan...,0.48633525,0.99748164,0.0,1.0,1.0
189,189,clean Kosher tasty meaty incredible restau...,Delicious meals,0.99997747,0.99966764,1.0,1.0,1.0
190,190,Wonderful buttery croissants,"Nice lunch, good location",0.9999981,0.8797803,1.0,1.0,1.0
191,191,Food good..service very mixed,"Slow Service at Bar, Restaurant very good",0.8547583,0.028243959,1.0,0.0,0.0
192,192,Post rugby food,"Amazing Breakfast, Questionable tip policy",0.09434998,0.9216975,0.0,1.0,1.0
193,193,Nother bad but few things to note...,Music!,0.12746191,0.4204772,0.0,0.0,0.0
194,194,Nice friendly restaurant,Danish Fine cusine,0.9434421,0.94898915,1.0,1.0,1.0
195,195,"""It's a small cheese shop, it's even a smal..."", 'Käsemeister",,0.8129113,,1.0,,1.0
196,196,Great middle eastern/Palestinian food in E...,,0.97854483,,1.0,,1.0
197,197,Friendly service and nice meals,Nice & good,0.99870104,0.9769157,1.0,1.0,1.0
198,198,,,,,,,
199,199,"Odd, but in a good way",Great ambiance,0.80416834,0.99801767,1.0,1.0,1.0
200,200,,,,,,,
201,201,"Good food, excellent service",Networking with clients,0.99947715,0.5925502,1.0,1.0,1.0
202,202,Unexpected good dinner (though place a lit...,Fabulous evening,0.99954903,0.9869501,1.0,1.0,1.0
203,203,Holiday Visit to Vienna,Irish pub in Vienna,0.7060957,0.47953844,1.0,0.0,1.0
204,204,,,,,,,
205,205,"Lovely wines, lovely decor, lovely staff",A well hidden gem,0.995811,0.999797,1.0,1.0,1.0
206,206,Tea with charm,Worth your time for tea,0.5340129,0.4435545,1.0,0.0,0.0
207,207,The best gyros/ kebab house in the area,,0.99979496,,1.0,,1.0
208,208,Great meal and great service,"Fast, fresh, friendly fish and chips!",0.99998856,0.9937079,1.0,1.0,1.0
209,209,"Good Burgers, Good Beer, Great Price",Great vodka stop off.,0.99999404,0.99041975,1.0,1.0,1.0
210,210,Very good pizzas,Comfort food,0.9985773,0.9873749,1.0,1.0,1.0
211,211,Good food!,Paella heaven.......,0.9709294,0.9938948,1.0,1.0,1.0
212,212,£5.50 for a bottle of beer is extortionate...,Disappointing,0.004354179,7.7957426e-05,0.0,0.0,0.0
213,213,Great food from this chain,a big bowl of flavors,0.99753433,0.4854751,1.0,0.0,1.0
214,214,Pastrami!,didnt like the taste of meat,0.74988925,0.00076428056,1.0,0.0,0.0
215,215,Great fish selection,Really nice,0.99583894,0.9509547,1.0,1.0,1.0
216,216,"Great place, locals go here to eat...",Nice Dinner,0.9976866,0.9197559,1.0,1.0,1.0
217,217,,,,,,,
218,218,Great fish food,Worth visiting - excellent value,0.9783592,0.98416173,1.0,1.0,1.0
219,219,Good steak and appealing presentation,too pricey for what it is,0.6313586,0.0016159117,1.0,0.0,0.0
220,220,Pricey but worth every penny,FELT THE WARMNESS OF HOME,0.99759066,0.15412056,1.0,0.0,1.0
221,221,,,,,,,
222,222,Less is more,Excellent italian cuisine,0.040242285,0.99942005,0.0,1.0,1.0
223,223,great afternoon lunch,Bof bof,0.99841386,0.3836408,1.0,0.0,1.0
224,224,Good Quality Local Food,Petite but fabulous,0.91334355,0.9854721,1.0,1.0,1.0
225,225,"Business Luncheon Italian ""Pub"" In An Indu...",,0.14218149,,0.0,,0.0
226,226,,,,,,,
227,227,40th,The Center of Spain,0.40788534,0.69052887,0.0,1.0,1.0
228,228,,,,,,,
229,229,Snacks and Drinks,Fairly Good for a Hotel Restaurant,0.9983268,0.56977636,1.0,1.0,1.0
230,230,Excellent cafe at Royal Albert Hall,Pre-tour refreshments,0.9951073,0.39963204,1.0,0.0,1.0
231,231,A.m.a.z.i.n.g burger,Tasty,0.07405388,0.95927614,0.0,1.0,1.0
232,232,,,,,,,
233,233,Excellent,,0.9968779,,1.0,,1.0
234,234,,,,,,,
235,235,Lovely place - I fell in love :),Addiction at first bite!,0.99997455,0.9995788,1.0,1.0,1.0
236,236,Nice!,A regular haunt. Decent food and good atmo...,0.76735204,0.9931469,1.0,1.0,1.0
237,237,,,,,,,
238,238,A nice little place in the Marais,Choose this restaurant on this block,0.98935914,0.54666835,1.0,1.0,1.0
239,239,Feel like home,Great Italian cafe,0.6161741,0.99311316,1.0,1.0,1.0
240,240,,,,,,,
241,241,Beergarden and Restaurant,Very nice traditional Biergarten with frie...,0.40021116,0.99994516,0.0,1.0,1.0
242,242,,,,,,,
243,243,Simple yet Satisfying meal,Absolutely perfect place,0.9928185,0.9994097,1.0,1.0,1.0
244,244,Real pizza,Pizza Pleasure,0.99558604,0.9991749,1.0,1.0,1.0
245,245,It’s about the money; not the cats,"""A Lovely Cat Cafe""",0.014859527,0.8928624,0.0,1.0,0.0
246,246,Good service,,0.89652705,,1.0,,1.0
247,247,Superb find!,Lovely food,0.99953043,0.9953481,1.0,1.0,1.0
248,248,"Great stop off!', ""McDonald's Thamesmead""",,0.9775653,,1.0,,1.0
249,249,Tasty,Great mexican dining,0.95927614,0.9973106,1.0,1.0,1.0
250,250,"Quirky, but interesting - very French","Good food, friendly service",0.7835078,0.9956804,1.0,1.0,1.0
251,251,great tapas in El Ravel,,0.99905515,,1.0,,1.0
252,252,Quick Panini & Prosecco lunch,"Fast and good, not cheap",0.9940361,0.9956838,1.0,1.0,1.0
253,253,Lovely armospher,Poor service...,0.9884755,0.00010755796,1.0,0.0,0.0
254,254,"""I'll return to make sure it's true!"", 'Outstanding service",,0.88207066,,1.0,,1.0
255,255,Modern Czech Cuisine,Seasonal products - modern cuisine for rea...,0.9677756,0.9994626,1.0,1.0,1.0
256,256,Wonderful meal to kick off our Parisian so...,Nice classic bistro,0.9999992,0.9868485,1.0,1.0,1.0
257,257,Nice,Good food,0.76735204,0.9709294,1.0,1.0,1.0
258,258,Just wanted sushi,sushi birthday,0.0076090097,0.41168782,0.0,0.0,0.0
259,259,Bakery that serves descent lunch,,0.24030963,,0.0,,0.0
260,260,Great grilled steaks and local food,Recommended by a friend and glad we went!,0.9997166,0.98518324,1.0,1.0,1.0
261,261,Top cocktails!,,0.993731,,1.0,,1.0
262,262,A lovely Little Find,Real gem of a restaurant,0.99720454,0.9998634,1.0,1.0,1.0
263,263,Good food and good value in Helsinki,Todella hyvä,0.9993665,0.3836408,1.0,0.0,1.0
264,264,Good for people watching,Absolutely the worst place in Prague,0.73348737,0.0031149387,1.0,0.0,0.0
265,265,NICE POPCORN CHICKEN,,0.9555671,,1.0,,1.0
266,266,"Good food, good value.",Cute place with great meals for great pric...,0.9953993,0.9997823,1.0,1.0,1.0
267,267,"Pleasant, but somewhat expensive.",Really pricey,0.7228247,0.20971492,1.0,0.0,0.0
268,268,Awkward location but well worth the effort,Huge waste of time,0.9690709,0.6317928,1.0,1.0,1.0
269,269,So so.,Delightful Italian restaurant,0.16321859,0.9987303,0.0,1.0,1.0
270,270,Traditional fish and chips,Surprisingly delicious,0.9379829,0.99980426,1.0,1.0,1.0
271,271,,,,,,,
272,272,"Good burger, environmentally aware/friendl...",Tasty. Fast. Easy,0.97089493,0.9985643,1.0,1.0,1.0
273,273,Latin Quarter Breads,,0.62113905,,1.0,,1.0
274,274,Good white wine but sea tappas is expensiv...,Just be mindful...otherwise great food 👍,0.9175852,0.9114361,1.0,1.0,1.0
275,275,Amazing restaurant. Truly Italian,Lovely place,0.999967,0.9967581,1.0,1.0,1.0
276,276,Very nice location,Nice evening overlooking the Acropolis!,0.91728556,0.7053614,1.0,1.0,1.0
277,277,sadly missed,Handy breakfast/lunch location,0.046734184,0.97177744,0.0,1.0,1.0
278,278,,,,,,,
279,279,,,,,,,
280,280,Homemade Pasta makes you feel at Home,Best Italian in Madrid,0.9999957,0.99926853,1.0,1.0,1.0
281,281,Good food and cheap as!,"Canteen style and a little slow, but a rea...",0.9992916,0.99255764,1.0,1.0,1.0
282,282,After Market recharge!,Live music pub - good food as well.,0.6631228,0.6340365,1.0,1.0,1.0
283,283,Low fat Indian food London,Meal before theatre,0.58579004,0.8223331,1.0,1.0,1.0
284,284,Christmas Break,Very nice food,0.9122642,0.9903203,1.0,1.0,1.0
285,285,,,,,,,
286,286,"Simple, fresh and healthy","you have better things to do, places to be...",0.9902618,0.17994288,1.0,0.0,1.0
287,287,Favorite Thai-place,Very good thai food at very reasonable pri...,0.999907,0.9999343,1.0,1.0,1.0
288,288,,,,,,,
289,289,,,,,,,
290,290,Very Good Pizza,Excellent Italian Cuisine,0.99957055,0.99942005,1.0,1.0,1.0
291,291,Restaurant with a twist,"Nice menu, hip setting and inventive cockt...",0.94290257,0.99998564,1.0,1.0,1.0
292,292,,,,,,,
293,293,Really nice French bistrot. Tradition with...,Little gem,0.9990909,0.99490786,1.0,1.0,1.0
294,294,,,,,,,
295,295,,,,,,,
296,296,Delicious wraps as big as your head for re...,Would have given 5 stars....,0.9999968,0.4983762,1.0,0.0,1.0
297,297,Consistent,Meal with my bestie,0.9220933,0.65568185,1.0,1.0,1.0
298,298,Cool Restaurant with Good Food,Worth a visit,0.99416804,0.9571283,1.0,1.0,1.0
299,299,Somewhere Special in Neukolln,,0.4070355,,0.0,,0.0
300,300,Excellent noodles,"Great food, relaxed Young ambiance",0.9991635,0.9983065,1.0,1.0,1.0
301,301,Roast Duck In Amsredam,,0.78368247,,1.0,,1.0
302,302,,,,,,,
303,303,"Very good vines', ""Didn't eat here but GREAT little place to...""",,0.99995923,,1.0,,1.0
304,304,"Funky, with good food!",Fantastic vibe,0.9903418,0.9999485,1.0,1.0,1.0
305,305,WORST PLACE EVER,Terrible food!,0.0004942715,0.00041219592,0.0,0.0,0.0
306,306,Delicious place to relax near train statio...,Recommended in Vienna,0.9999008,0.9241948,1.0,1.0,1.0
307,307,Best pizza and pastries!,Inexpensive and Fabulous,0.99999255,0.9972813,1.0,1.0,1.0
308,308,Excellent Location,Convenient restaurant when visiting the Th...,0.9824302,0.7327949,1.0,1.0,1.0
309,309,What a joy!,Great Japanese at Södermalm,0.96266407,0.9969391,1.0,1.0,1.0
310,310,Worst pizza ever?,Very poor pizza,0.000111681424,4.6111003e-05,0.0,0.0,0.0
311,311,"Superb!! Locals, good wine list, great pas...",Perfect Casual Italian in Bastille,0.99995506,0.9999926,1.0,1.0,1.0
312,312,Nice little cafe,Looking for vegan breakfast,0.88973904,0.79595387,1.0,1.0,1.0
313,313,Especialmente espectacular,Amazing place,0.3836408,0.9998847,0.0,1.0,1.0
314,314,Good food and nothing else,Great experience,0.7871332,0.9982205,1.0,1.0,1.0
315,315,,,,,,,
316,316,Gorgeously presented gelato. The best in L...,Best and prettiest ice cream in Lisbon,0.9398969,0.9996747,1.0,1.0,1.0
317,317,Really nice food,Loved the food.,0.9916357,0.99784327,1.0,1.0,1.0
318,318,Lunch on the last day,Best in Navigli🙏🙏🙏,0.5548782,0.99919486,1.0,1.0,1.0
319,319,Good quality but not good treatment,A good idea this restaurant in Milan,0.33117032,0.15831536,0.0,0.0,0.0
320,320,Good basic pub,Fantastic place with great staff,0.61036736,0.9999992,1.0,1.0,1.0
321,321,Dinner for 2,More than a trusted Bistro,0.51012546,0.18861923,1.0,0.0,0.0
322,322,Good restaurant,Good service and beautiful presentation bu...,0.9393511,0.8887208,1.0,1.0,1.0
323,323,,,,,,,
324,324,,,,,,,
325,325,,,,,,,
326,326,Nice little winebar,,0.7279834,,1.0,,1.0
327,327,For a fast lunch,Nice place for a quick lunch,0.62254834,0.996804,1.0,1.0,1.0
328,328,Exquisite spontaneous lunch,Good quality and good price,0.99759173,0.99863607,1.0,1.0,1.0
329,329,Fabulous Food and Service,Great place for families with kids!!!,0.9997103,0.98652923,1.0,1.0,1.0
330,330,,,,,,,
331,331,Authentic Vietnamese Casual Restaurant,Well worth visiting this Vietnamese restau...,0.974576,0.92922175,1.0,1.0,1.0
332,332,Bland Uninspiring Burritos,"Price list unclear, food bland and watery...",2.0236406e-05,0.0012797713,0.0,0.0,0.0
333,333,Juicy tender beef steaks!,A Real steak joint & they have Wagyu!,0.99860775,0.99644464,1.0,1.0,1.0
334,334,,,,,,,
335,335,the best visit second time,Russian food,0.9983906,0.8143623,1.0,1.0,1.0
336,336,Dinner,Great and Generously Accommodating,0.7689172,0.99998116,1.0,1.0,1.0
337,337,Chill out and rewind at Reset!,,0.9542773,,1.0,,1.0
338,338,Take out for our last night in Berlin,Good Standard Greek & Good Service,0.18100849,0.99544835,0.0,1.0,1.0
339,339,A little island of tranquility in the 6me,,0.51830274,,1.0,,1.0
340,340,,,,,,,
341,341,"Best Meal in France- Most Excellent ""Fish...",Amazing,1.0,0.9990692,1.0,1.0,1.0
342,342,Stale stale stale,Pattie in the Park,0.00033923984,0.9454624,0.0,1.0,0.0
343,343,Amazingly tasty!,Good gastronomique &delicious food,0.99586594,0.99888146,1.0,1.0,1.0
344,344,A taste of the Maghreb!,YUMMY AND YUMMY!,0.46080762,0.99957776,0.0,1.0,1.0
345,345,Lovely food,Taster menu with wines,0.9953481,0.8902664,1.0,1.0,1.0
346,346,A Dull Tuesday Night,,0.05754462,,0.0,,0.0
